SEGMENT_ID|RESERVATION_ID|OD_FLIGHT_ID|SERIES_NUM|CONFIRMATION_NUM|RECORD_NUM|DEPARTURE_DATE|LOGICAL_FLIGHT_ID|PASSENGER_ID|CRS_CODE|CRS_NAME|RECORD_LOCATOR|FLIGHT_STATUS|FROM_AIRPORT|TO_AIRPORT|RES_SEG_STATUS|RES_SEG_STATUS_DESCRIPTION|PTC_ID|PTC_DESCRIPTION|BOOK_DATE|RES_CHANNEL_ID|RES_CHANNEL_DESCRIPTION|BOOKING_AGENT|IATA_NUM|CORPORATION_ID|PROMOTION_ID|PROMOTION_CODE|FARE_CLASS_CODE|SAVED_FB_CODE|NON_REV_ID|NON_REV_DESCRIPTION|TICKET_NUM|TICKET_COUPON_NUMBER|CABIN|POS_OFFICE_OR_CITY_CODE|POS_USER_IDENTIFICATION_NUMBER|POS_AIRPORT_CODE|POS_CRS_CODE|POS_CRS_NAME|POS_USER_TYPE|POS_ISO_COUNTRY_NUM|POS_ISO_COUNTRY_NAME|POS_ISO_CURR|POS_DUTY_CODE|POS_ERSP_ID_NUMBER|POS_POINT_OF_FIRST_DEPARTURE|CANCEL_DATE|CANCEL_AGENT|CANCEL_REASON_ID|CANCEL_REASON_DESCRIPTION|TRAVELS_WITH_PASSENGER_ID|MARKETING_CARRIER_CODE|MARKETING_FLIGHT_NUM|MARKETING_FARE_CLASS|OPERATING_CARRIER_CODE|OPERATING_FLIGHT_NUM|OPERATING_FARE_CLASS|CREATED_DATE|LAST_MODIFIED_DATE

GZZYOY2991|GZZYOY299|201608166527|299|GZZYOY|1|16-AUG-16|6527|1265||||OPEN|KTW|RHO|0|CANCELED|6|CHD |12-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1|Cancel due to Modify||P7|8321|S |P7|8321|S |12-FEB-16|17-FEB-16
GZZYOY2992|GZZYOY299|201608166527|299|GZZYOY|2|16-AUG-16|6527|1267||||OPEN|KTW|RHO|0|CANCELED|1|ADT |12-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1|Cancel due to Modify||P7|8321|S |P7|8321|S |12-FEB-16|17-FEB-16
GZZYOY2993|GZZYOY299|201608166527|299|GZZYOY|3|16-AUG-16|6527|1266||||OPEN|KTW|RHO|0|CANCELED|6|CHD |12-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1|Cancel due to Modify||P7|8321|S |P7|8321|S |12-FEB-16|17-FEB-16
GZZYOY2994|GZZYOY299|201608166527|299|GZZYOY|4|16-AUG-16|6527|1268||||OPEN|KTW|RHO|0|CANCELED|1|ADT |12-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1|Cancel due to Modify||P7|8321|S |P7|8321|S |12-FEB-16|17-FEB-16

GZZYOY2995|GZZYOY299|201608306560|299|GZZYOY|5|30-AUG-16|6560|1265||||OPEN|RHO|KTW|0|CANCELED|6|CHD |12-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1|Cancel due to Modify||P7|8322|S |P7|8322|S |12-FEB-16|17-FEB-16
GZZYOY2996|GZZYOY299|201608306560|299|GZZYOY|6|30-AUG-16|6560|1267||||OPEN|RHO|KTW|0|CANCELED|1|ADT |12-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1|Cancel due to Modify||P7|8322|S |P7|8322|S |12-FEB-16|17-FEB-16
GZZYOY2997|GZZYOY299|201608306560|299|GZZYOY|7|30-AUG-16|6560|1266||||OPEN|RHO|KTW|0|CANCELED|6|CHD |12-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1|Cancel due to Modify||P7|8322|S |P7|8322|S |12-FEB-16|17-FEB-16
GZZYOY2998|GZZYOY299|201608306560|299|GZZYOY|8|30-AUG-16|6560|1268||||OPEN|RHO|KTW|0|CANCELED|1|ADT |12-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1|Cancel due to Modify||P7|8322|S |P7|8322|S |12-FEB-16|17-FEB-16

AN71R2991|1AN71R299|201606276545|299|1AN71R|1|27-JUN-16|6545|1425||||OPEN|KTW|VAR|0|CANCELED|6|CHD |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8331|S |P7|8331|S |16-FEB-16|17-FEB-16
1AN71R2992|1AN71R299|201606276545|299|1AN71R|2|27-JUN-16|6545|1383||||OPEN|KTW|VAR|0|CANCELED|6|CHD |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8331|S |P7|8331|S |16-FEB-16|17-FEB-16
1AN71R2993|1AN71R299|201606276545|299|1AN71R|3|27-JUN-16|6545|1384||||OPEN|KTW|VAR|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8331|S |P7|8331|S |16-FEB-16|17-FEB-16
1AN71R2994|1AN71R299|201606276545|299|1AN71R|4|27-JUN-16|6545|1382||||OPEN|KTW|VAR|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8331|S |P7|8331|S |16-FEB-16|17-FEB-16

1AN71R2995|1AN71R299|201607116556|299|1AN71R|5|11-JUL-16|6556|1425||||OPEN|VAR|KTW|0|CANCELED|6|CHD |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8332|S |P7|8332|S |16-FEB-16|17-FEB-16
1AN71R2996|1AN71R299|201607116556|299|1AN71R|6|11-JUL-16|6556|1383||||OPEN|VAR|KTW|0|CANCELED|6|CHD |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8332|S |P7|8332|S |16-FEB-16|17-FEB-16
1AN71R2997|1AN71R299|201607116556|299|1AN71R|7|11-JUL-16|6556|1384||||OPEN|VAR|KTW|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8332|S |P7|8332|S |16-FEB-16|17-FEB-16
1AN71R2998|1AN71R299|201607116556|299|1AN71R|8|11-JUL-16|6556|1382||||OPEN|VAR|KTW|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8332|S |P7|8332|S |16-FEB-16|17-FEB-16

BSMT642991|BSMT64299|201608026524|299|BSMT64|1|02-AUG-16|6524|1427||||OPEN|WAW|CFU|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8077|S |P7|8077|S |16-FEB-16|17-FEB-16
BSMT642992|BSMT64299|201608026524|299|BSMT64|2|02-AUG-16|6524|1428||||OPEN|WAW|CFU|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8077|S |P7|8077|S |16-FEB-16|17-FEB-16
BSMT642993|BSMT64299|201608026524|299|BSMT64|3|02-AUG-16|6524|1430||||OPEN|WAW|CFU|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8077|S |P7|8077|S |16-FEB-16|17-FEB-16
BSMT642994|BSMT64299|201608026524|299|BSMT64|4|02-AUG-16|6524|1429||||OPEN|WAW|CFU|0|CANCELED|6|CHD |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8077|S |P7|8077|S |16-FEB-16|17-FEB-16
BSMT642995|BSMT64299|201608096557|299|BSMT64|5|09-AUG-16|6557|1427||||OPEN|CFU|WAW|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8078|S |P7|8078|S |16-FEB-16|17-FEB-16
BSMT642996|BSMT64299|201608096557|299|BSMT64|6|09-AUG-16|6557|1428||||OPEN|CFU|WAW|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8078|S |P7|8078|S |16-FEB-16|17-FEB-16
BSMT642997|BSMT64299|201608096557|299|BSMT64|7|09-AUG-16|6557|1430||||OPEN|CFU|WAW|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8078|S |P7|8078|S |16-FEB-16|17-FEB-16
BSMT642998|BSMT64299|201608096557|299|BSMT64|8|09-AUG-16|6557|1429||||OPEN|CFU|WAW|0|CANCELED|6|CHD |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8078|S |P7|8078|S |16-FEB-16|17-FEB-16
LS75OK2991|LS75OK299|201606136545|299|LS75OK|1|13-JUN-16|6545|1431||||OPEN|KTW|VAR|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8331|S |P7|8331|S |16-FEB-16|17-FEB-16
LS75OK2992|LS75OK299|201607116556|299|LS75OK|2|11-JUL-16|6556|1431||||OPEN|VAR|KTW|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8332|Q |P7|8332|Q |16-FEB-16|17-FEB-16
PIUNE62991|PIUNE6299|201607086529|299|PIUNE6|1|08-JUL-16|6529|1437||||OPEN|KTW|ZTH|0|CANCELED|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY|||||||||||||18-FEB-16|AutoCancel|10|Auto Cancel||P7|8385|Q |P7|8385|Q |17-FEB-16|18-FEB-16
PIUNE62992|PIUNE6299|201607156564|299|PIUNE6|2|15-JUL-16|6564|1437||||OPEN|ZTH|KTW|0|CANCELED|1|ADT |17-FEB-16|8|EXT_WEB|web|||||N |NECON|0|IS_REV|||ECONOMY|||||||||||||18-FEB-16|AutoCancel|10|Auto Cancel||P7|8386|N |P7|8386|N |17-FEB-16|18-FEB-16
IYNU7R2991|IYNU7R299|201608086507|299|IYNU7R|1|08-AUG-16|6507|1438||||OPEN|KTW|BOJ|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8339|Q |P7|8339|Q |17-FEB-16|17-FEB-16
