SEGMENT_ID|CHARGE_ID|SERIES_NUM|CONFIRMATION_NUM|RECORD_NUM|BILL_DATE|ORIGINAL_CHARGE_ID|TAX_ID|TAX_CODE|TAX_DESCRIPTION|CODE_TYPE|SVC_DESCRIPTION|REV_CATEGORY_ID|REV_CATEGORY_DESCRIPTION|CHRG_CHANNEL_ID|CHRG_CHANNEL_CODE|CHARGE_STATUS|STATUS_REASON_ID|STATUS_REASON_DESCRIPTION|RES_CURR_CODE|RES_CURR_CHRG_AMOUNT|RPT_CURR_CODE|RPT_CURR_CHRG_AMOUNT|CHARGE_COMMENT|CREATED_DATE|LAST_MODIFIED_DATE
RQETJK2991|7076|299 |RQETJK|1|17-FEB-16|6802||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|1|STANDARD|0|10|Auto Cancel|PLN|-228|EUR|-52|WEB:AIR|17-FEB-16|17-FEB-16
RQETJK2991|7077|299 |RQETJK|1|17-FEB-16|6803|542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|1|STANDARD|0|10|Auto Cancel|PLN|-31|EUR|-7|Katowice Departure Tax|17-FEB-16|17-FEB-16
RQETJK2991|7078|299 |RQETJK|1|17-FEB-16|6804||||XBAG      |20 KG BAG|7|Special Service Requests|1|STANDARD|0|10|Auto Cancel|PLN|-90|EUR|-21||17-FEB-16|17-FEB-16
RQETJK2991|7079|299 |RQETJK|1|17-FEB-16|6805||||NSST      |SEAT RESERVATION|7|Special Service Requests|1|STANDARD|0|10|Auto Cancel|PLN|-25|EUR|-6|SEAT RESERVATION|17-FEB-16|17-FEB-16
RQETJK2992|7080|299 |RQETJK|2|17-FEB-16|6806||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|1|STANDARD|0|10|Auto Cancel|PLN|-228|EUR|-52|WEB:AIR|17-FEB-16|17-FEB-16
RQETJK2992|7081|299 |RQETJK|2|17-FEB-16|6807|542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|1|STANDARD|0|10|Auto Cancel|PLN|-31|EUR|-7|Katowice Departure Tax|17-FEB-16|17-FEB-16
RQETJK2992|7082|299 |RQETJK|2|17-FEB-16|6808||||NSST      |SEAT RESERVATION|7|Special Service Requests|1|STANDARD|0|10|Auto Cancel|PLN|-25|EUR|-6|SEAT RESERVATION|17-FEB-16|17-FEB-16
RQETJK2993|7083|299 |RQETJK|3|17-FEB-16|6809||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|1|STANDARD|0|10|Auto Cancel|PLN|-228|EUR|-52|WEB:AIR|17-FEB-16|17-FEB-16
RQETJK2993|7084|299 |RQETJK|3|17-FEB-16|6810|542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|1|STANDARD|0|10|Auto Cancel|PLN|-31|EUR|-7|Katowice Departure Tax|17-FEB-16|17-FEB-16
RQETJK2993|7085|299 |RQETJK|3|17-FEB-16|6811||||NSST      |SEAT RESERVATION|7|Special Service Requests|1|STANDARD|0|10|Auto Cancel|PLN|-25|EUR|-6|SEAT RESERVATION|17-FEB-16|17-FEB-16
