CONFIRMATION_NUM|CREATED_DATE|LAST_MODIFIED_DATE|DEPARTURE_DATE|PASSENGER_ID|RES_SEG_STATUS_DESCRIPTION|BOOK_DATE|CANCEL_REASON_DESCRIPTION|SEGMENT_ID|RESERVATION_ID|LOGICAL_FLIGHT_ID|OD_FLIGHT_ID|SERIES_NUM|RECORD_NUM|CRS_CODE|CRS_NAME|RECORD_LOCATOR|FLIGHT_STATUS|FROM_AIRPORT|TO_AIRPORT|RES_SEG_STATUS|PTC_ID|PTC_DESCRIPTION|RES_CHANNEL_ID|RES_CHANNEL_DESCRIPTION|BOOKING_AGENT|IATA_NUM|CORPORATION_ID|PROMOTION_ID|PROMOTION_CODE|FARE_CLASS_CODE|SAVED_FB_CODE|NON_REV_ID|NON_REV_DESCRIPTION|TICKET_NUM|TICKET_COUPON_NUMBER|CABIN|POS_OFFICE_OR_CITY_CODE|POS_USER_IDENTIFICATION_NUMBER|POS_AIRPORT_CODE|POS_CRS_CODE|POS_CRS_NAME|POS_USER_TYPE|POS_ISO_COUNTRY_NUM|POS_ISO_COUNTRY_NAME|POS_ISO_CURR|POS_DUTY_CODE|POS_ERSP_ID_NUMBER|POS_POINT_OF_FIRST_DEPARTURE|CANCEL_DATE|CANCEL_AGENT|CANCEL_REASON_ID|TRAVELS_WITH_PASSENGER_ID|MARKETING_CARRIER_CODE|MARKETING_FLIGHT_NUM|MARKETING_FARE_CLASS|OPERATING_CARRIER_CODE|OPERATING_FLIGHT_NUM|OPERATING_FARE_CLASS
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
GZZYOY|12-FEB-16|17-FEB-16|16-AUG-16|1265|CANCELED|12-FEB-16|Cancel due to Modify|GZZYOY2991|GZZYOY299|6527|201608166527|299|1||||OPEN|KTW|RHO|0|6|CHD|8|EXT_WEB|web|||||S|SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1||P7|8321|S|P7|8321|S
GZZYOY|12-FEB-16|17-FEB-16|16-AUG-16|1267|CANCELED|12-FEB-16|Cancel due to Modify|GZZYOY2992|GZZYOY299|6527|201608166527|299|2||||OPEN|KTW|RHO|0|1|ADT|8|EXT_WEB|web|||||S|SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1||P7|8321|S|P7|8321|S
GZZYOY|12-FEB-16|17-FEB-16|16-AUG-16|1266|CANCELED|12-FEB-16|Cancel due to Modify|GZZYOY2993|GZZYOY299|6527|201608166527|299|3||||OPEN|KTW|RHO|0|6|CHD|8|EXT_WEB|web|||||S|SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1||P7|8321|S|P7|8321|S
GZZYOY|12-FEB-16|17-FEB-16|16-AUG-16|1268|CANCELED|12-FEB-16|Cancel due to Modify|GZZYOY2994|GZZYOY299|6527|201608166527|299|4||||OPEN|KTW|RHO|0|1|ADT|8|EXT_WEB|web|||||S|SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1||P7|8321|S|P7|8321|S
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
GZZYOY|12-FEB-16|17-FEB-16|30-AUG-16|1267|CANCELED|12-FEB-16|Cancel due to Modify|GZZYOY2996|GZZYOY299|6560|201608306560|299|6||||OPEN|RHO|KTW|0|1|ADT|8|EXT_WEB|web|||||S|SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1||P7|8322|S|P7|8322|S
GZZYOY|12-FEB-16|17-FEB-16|30-AUG-16|1266|CANCELED|12-FEB-16|Cancel due to Modify|GZZYOY2997|GZZYOY299|6560|201608306560|299|7||||OPEN|RHO|KTW|0|6|CHD|8|EXT_WEB|web|||||S|SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1||P7|8322|S|P7|8322|S
GZZYOY|12-FEB-16|17-FEB-16|30-AUG-16|1268|CANCELED|12-FEB-16|Cancel due to Modify|GZZYOY2998|GZZYOY299|6560|201608306560|299|8||||OPEN|RHO|KTW|0|1|ADT|8|EXT_WEB|web|||||S|SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1||P7|8322|S|P7|8322|S
GZZYOY|12-FEB-16|17-FEB-16|30-AUG-16|1265|CANCELED|12-FEB-16|Cancel due to Modify|GZZYOY2995|GZZYOY299|6560|201608306560|299|5||||OPEN|RHO|KTW|0|6|CHD|8|EXT_WEB|web|||||S|SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16||1||P7|8322|S|P7|8322|S
